Nome,Endereço,Data de nascimento,Cor,Sexo,Identidade,CPF,Estado
Maya Melo,"Sítio Maria Fernanda Alves, 24, Fazendinha, 96366-650 Fogaça / RR",1990-11-28,Parda,Feminino,35735799-6,857.314.206-53,RR
Isis Nogueira,"Pátio de Oliveira, 94, Baleia, 47037-558 Moura de Costa / RO",1991-01-15,Branca,Masculino,99505742-5,418.932.067-69,RO
Juan Casa Grande,"Condomínio Araújo, 56, São Benedito, 28770-488 Guerra / AC",2006-07-08,Indígena,Masculino,48808842-6,831.572.490-88,AC
Sra. Ísis Vasconcelos,"Rua de Rodrigues, 41, Biquinhas, 17572582 Siqueira de Goiás / TO",1962-11-13,Amarela,Masculino,12528346-4,018.372.645-62,TO
Mateus Albuquerque,"Trecho Levi Costela, 26, Vila Betânia, 52855860 Machado / AP",1960-11-18,Amarela,Masculino,42551238-1,417.965.208-02,AP
Marcelo Cardoso,"Fazenda Stephany Rodrigues, 30, Aguas Claras, 82988-854 Freitas / SC",1967-01-16,Preta,Masculino,84467092-6,162.473.580-08,SC
Dra. Maria Liz Nascimento,"Distrito Levi Lopes, 36, Fazendinha, 70018-906 Pereira de Silveira / PB",1979-02-11,Parda,Feminino,40529964-6,017.965.382-21,PB
Dra. Maria Alice Farias,"Quadra Rocha, 19, Vila Cloris, 69236-282 Macedo / AP",1976-07-02,Preta,Masculino,87884538-9,640.258.719-20,AP
Sr. João Felipe Leão,"Trecho Isadora Macedo, Santa Rita De Cássia, 07900-929 Pinto da Praia / MT",2000-03-15,Branca,Masculino,62525266-5,914.067.853-93,MT
Srta. Bárbara Gomes,"Condomínio Maria Vitória Albuquerque, 3, Betânia, 67824-612 Santos / SP",1998-07-07,Branca,Masculino,85901888-7,591.680.427-01,SP
Dra. Evelyn da Cruz,"Ladeira Araújo, 85, Tres Marias, 95691188 Correia / SE",1978-03-22,Branca,Masculino,37161879-2,137.958.264-46,SE
Heitor Moura,"Aeroporto Maya Costa, 7, Mirtes, 83522154 Fogaça / RS",1986-11-26,Indígena,Masculino,88304129-9,568.790.432-83,RS
Ana Julia Costa,"Praia Luiz Felipe Machado, São Gabriel, 88214321 Caldeira Grande / RS",1999-02-27,Preta,Feminino,96774276-6,652.903.418-89,RS
Srta. Ana Clara Sampaio,"Estação Miguel Pires, 361, Universo, 22202228 Rezende / MA",2005-11-06,Amarela,Masculino,59607013-1,160.534.728-08,MA
Maria Flor Pereira,"Estrada Ravi Lucca Rios, 980, Candelaria, 37521-402 Monteiro das Pedras / MS",2003-02-25,Parda,Masculino,76492679-0,741.963.520-06,MS
Isabella da Conceição,"Feira de Caldeira, 78, Vila São Francisco, 93467-857 Andrade / ES",2006-11-03,Indígena,Feminino,26900247-3,109.465.387-00,ES
Mariah Alves,"Núcleo Mariana Freitas, São Paulo, 85505-627 da Cruz de Vargas / PB",1959-08-16,Preta,Feminino,50326746-4,762.350.814-80,PB
Heloísa Aparecida,"Núcleo de Pastor, 902, Barroca, 38348-616 Ferreira / SE",1977-02-15,Indígena,Masculino,95317722-3,760.519.824-85,SE
Emanuella Campos,"Condomínio da Costa, 85, Camponesa 1ª Seção, 99402604 Lopes do Campo / GO",1989-01-14,Preta,Masculino,94060599-1,165.923.048-98,GO
Isabelly Sales,"Recanto Souza, 81, Vila Primeiro De Maio, 42709240 Fonseca de Borges / RO",1976-09-01,Indígena,Masculino,77701909-9,058.216.739-68,RO
Vinicius Teixeira,"Residencial de Farias, 91, Conjunto Santa Maria, 57511830 Ramos / GO",1967-06-07,Preta,Masculino,66378600-6,586.073.912-59,GO
Sra. Clarice Oliveira,"Distrito Siqueira, 96, Vila Rica, 58709-930 Rodrigues / CE",1999-08-08,Branca,Masculino,74228490-3,126.873.950-21,CE
Allana Cavalcante,"Recanto Correia, 719, Vila Maloca, 65000665 Cardoso de Caldeira / CE",1965-09-27,Parda,Feminino,84928241-7,291.573.460-70,CE
Ravi Lucca Andrade,"Recanto da Rosa, 760, São Lucas, 47091-848 Carvalho do Campo / CE",2001-02-15,Indígena,Feminino,71457234-2,415.260.789-02,CE
Guilherme Câmara,"Morro Bryan Ramos, 285, Granja De Freitas, 32133003 Borges da Mata / SC",2004-08-28,Parda,Masculino,89233888-6,724.158.603-44,SC
Rodrigo Ribeiro,"Estrada de da Conceição, 49, Aguas Claras, 85978466 Barbosa / AL",1965-11-02,Branca,Masculino,12442205-1,905.187.243-79,AL
Ravi Lucca Machado,"Colônia Costela, 2, Bandeirantes, 51025139 Ferreira das Flores / GO",1994-12-26,Parda,Masculino,63898931-7,234.960.851-42,GO
Dra. Isabella Câmara,"Aeroporto Cavalcante, 75, Vila Formosa, 45967-556 Gomes / ES",1999-07-03,Preta,Feminino,49536332-9,519.784.203-23,ES
Maria Luiza Pires,"Ladeira Santos, 33, Flavio De Oliveira, 73877-375 Vasconcelos / SE",1970-03-09,Preta,Feminino,44890816-9,459.103.687-10,SE
Danilo Sousa,"Viela Ferreira, 39, Corumbiara, 79617441 Cassiano / MT",1959-12-10,Parda,Feminino,48512419-2,187.460.293-03,MT
Bernardo Campos,"Vale Camargo, 70, Salgado Filho, 19956-742 Nogueira de Melo / AP",1993-06-03,Indígena,Feminino,13757884-0,263.907.185-86,AP
Alice da Cunha,"Estrada Novais, 70, Vila Havaí, 79472907 Leão do Amparo / CE",1989-07-22,Preta,Feminino,92878415-8,086.974.253-10,CE
Kamilly Martins,"Praça José Miguel Rios, 1, Gutierrez, 45522-452 Barbosa de Ribeiro / RR",1993-05-09,Amarela,Feminino,15345974-0,362.059.187-30,RR
Lavínia da Cunha,"Avenida de Garcia, 8, Pantanal, 01205-653 Correia / RR",2003-12-05,Amarela,Masculino,20801730-8,469.732.805-10,RR
Isaque da Cunha,"Avenida Sabrina Castro, 120, Pirineus, 16348-947 Moreira / AM",1968-05-13,Parda,Feminino,47862801-2,798.205.461-76,AM
Gabriela Alves,"Favela de Souza, 23, Jardim São José, 55202-435 Guerra / AL",2001-04-27,Indígena,Masculino,24119808-7,316.875.904-00,AL
Elisa Martins,"Passarela Vieira, 9, Ouro Minas, 75632-611 Brito da Praia / CE",1985-09-05,Indígena,Feminino,75494573-8,540.369.187-10,CE
Felipe Aparecida,"Estação de Macedo, 22, Maria Virgínia, 97859-460 Martins da Prata / RJ",1962-09-22,Parda,Masculino,71465562-3,795.061.238-02,RJ
Leonardo Cassiano,"Rodovia de Mendonça, 948, Vila Tirol, 91356202 Freitas Grande / PA",1963-02-24,Branca,Feminino,90581362-1,823.059.167-95,PA
Dr. Matheus Carvalho,"Campo de Araújo, Flavio De Oliveira, 00783-895 Jesus da Mata / MT",1978-01-17,Amarela,Masculino,17773006-2,728.639.104-69,MT
Ísis Câmara,"Avenida Monteiro, 49, Suzana, 94539-890 Fernandes / ES",1988-12-26,Branca,Masculino,94603969-2,048.165.237-07,ES
Mariane Santos,"Alameda de Pinto, 3, Vila Antena, 08152-513 Cardoso de Aparecida / TO",1972-05-09,Indígena,Masculino,21058732-8,183.407.296-40,TO
Sr. Alexandre Rezende,"Morro de Caldeira, 4, Alto Dos Pinheiros, 26449814 Caldeira / AM",1975-07-23,Preta,Masculino,93397313-2,174.635.809-20,AM
